SN,Author,Year,Title,Database
1,"Reedy, Paul",2021,15 - Crime types in the digital realm,Science Direct
2,"Yamazaki, Michele",2011,15 - Reference and Workflow,Science Direct
3,"Lau, Henry",2018,A business process decision model for fresh-food supplier evaluation,Emerald
4,"Huang, Shi-Ming",2009,A business process gap detecting mechanism between information system process flow and internal control flow,Science Direct
5,"Kinyua, Juliet",2015,A data-independent acquisition workflow for qualitative screening of new psychoactive substances in biological samples,Springer
6,"Ku, Chih-Hao",2014,A decision support system: Automated crime report analysis and classification for e-government,Science Direct
7,"He, Longlong",2021,A decision-making model for knowledge collaboration and reuse through scientific workflow,Science Direct
8,"Milliet, Quentin",2014,A forensic science perspective on the role of images in crime investigation and reconstruction,Science Direct
9,"Harrel, Michelle",2020,A Powder‐free DNA Extraction Workflow for Skeletal Samples.,CJA
10,"Greasley, Andrew",2004,A redesign of a road traffic accident reporting system using business process simulation,Emerald
11,"Lee, Yung Hyeock",2022,A regional analysis of crime heterogeneity and small- and medium-sized enterprise (SME) location choices: recent evidence from South Korea,Springer
12,"Hu, Yujie",2018,A spatio-temporal kernel density estimation framework for predictive crime hotspot mapping and evaluation,Science Direct
13,"Murray, Kenneth",2013,A square go: tackling organised crime where it doesn't want to be tackled,Emerald
14,"Brown, Cheryl M",2018,A step towards improving workflow practices for volume crime investigations: outcomes of a 90-day trial in South Australia.,CJA
15,"Aziz, Maslina Abdul",2019,A Survey of Big Workflow,Springer
16,"Sieberth, Till",2019,A toolbox for the rapid prototyping of crime scene reconstructions in virtual reality,Science Direct
17,"Lettieri, Nicola",2017,Agents Shaping Networks Shaping Agents: Integrating Social Network Analysis and Agent-Based Modeling in Computational Crime Research,Springer
18,"Zhu, Haojie",2021,An agent-based model for simulating urban crime with improved daily routines,Science Direct
19,"Scheible, Melissa K R",2021,An alternate workflow for preparing Precision ID Ancestry and Identity Panel libraries for Illumina sequencing.,CJA
20,"Felix Enigo, V. S.",2020,An Automated System for Crime Investigation Using Conventional and Machine Learning Approach,Springer
21,"Harush-Brosh, Yinon",2020,An efficient and eco-friendly workflow for dual fingermark processing and STR profiling,Science Direct
22,"Bucknell, Alistair",2017,An investigation into the effect of surveillance drones on textile evidence at crime scenes.,CJA/Science Direct
23,"Salmela, Hannu",2016,Analysing Business Losses Caused by Information Systems Risk: A Business Process Analysis Approach BT  - Enacting Research Methods in Information Systems: Volume 3,Springer
24,"Kumar, Ravi",2019,Analysis and prediction of crime patterns using big data,Springer
25,"Akinbowale, Oluwatoyin Esther",2020,Analysis of cyber-crime effects on the banking sector using the balanced score card: a survey of literature,Emerald
26,"Hołowko, Elwira",2016,Application of multi-resolution 3D techniques in crime scene documentation with bloodstain pattern analysis,Science Direct
27,"H. Ratcliffe, Jerry",2014,Assessing the success factors of organized crime groups,Emerald
28,"Salzmann, Andrea Patrizia",2021,Assessing time dependent changes in microbial composition of biological crime scene traces using microbial RNA markers,Science Direct
29,"Hakim, Hashom Mohd",2020,Assessment of QIAGEN™ Investigator® 24plex GO! kit workflow for autosomal STR profiling of forensic reference samples,Springer
30,"Morgan, Robert",2019,Assessment of the potential investigative value of a decentralised rapid DNA workflow for reference DNA samples,Science Direct
31,"Coyne, John",2015,Australian Case Study 1: The Australian Crime Commission (ACC),Springer
32,"O’Malley, Troy",2022,"Automated ‘lights-out’ searching of all recovered fingerprints: Review of the current workflow for latent fingerprint processing in Queensland, Australia",CJA
33,"Benschop, Corina C G",2022,Automated DNA casework workflow: A retrospective study of the first implementation of FIDL at the Netherlands Forensic Institute,Science Direct
34,"Stangegaard, Michael",2013,Automated extraction of DNA from biological stains on fabric from crime cases. A comparison of a manual and three automated methods,Science Direct
35,"AbdulRaheem, Muyideen",2022,Automated Fingerprint Biometric System for Crime Record Management,Springer
36,"O'Malley, Troy",2022,"Automated 'lights-out' searching of all recovered fingerprints: Review of the current workflow for latent fingerprint processing in Queensland, Australia.",Science Direct
37,"Abraham, Joshua",2021,Automatically classifying crime scene images using machine learning methodologies,Science Direct
38,"Bruenisholz, Eva",2019,Benchmarking forensic volume crime performance in Australia between 2011 and 2015,CJA/Science Direct
39,"Kanin, David B",2003,"Big Men, Corruption, and Crime",Springer
40,"Minnaar, Anthony",2022,Border Security: An Essential but Effective Tool in Combatting Cross-Border Crime,Springer
41,"Rao, Lila",2012,Building ontology based knowledge maps to assist business process re-engineering,Science Direct
